1;"EM QUE ESTADO DO BRASIL NASCEU A APRESENTADORA XUXA?";"RIO DE JANEIRO";"RIO GRANDE DO SUL";"SANTA CATARINA";"GOIÁS";"2"
2;"QUAL GRUPO DE PAGODE DO CANTOR CHRIGOR?";"NEGRITUDE JR.";"EXALTASAMBA";"MOLEJO";"SOWETO";"2"
3;"QUE  PERSONAGEM DA TURMA DO CHAVES VIVE COBRANDO O ALUGUEL DO SEU MADRUGA?";"KIKO";"CHAVES";"SEU BARRIGA";"PROFESSOR GIRAFALES";"3"
4;"QUEM É A NAMORADA DO MICKEY?";"MARGARIDA";"MINIE";"CLARABELA";"ROSINHA";"2"
5;"QUE PERSONAGEM DO FOLCLORE BRASILEIRO TEM UMA PERNA SÓ?";"CUCA";"NEGRINHO DO PASTOREIO";"BOITATÁ";"SACI-PERERÊ";"4"
6;"DE QUE PAÍS FIDEL CASTRO É PRESIDENTE ?";"JAMAICA";"CUBA";"EL SALVADOR";"MÉXICO";"2"
7;"QUEM PROCLAMOU A REPÚBLICA DO BRASIL EM 1889?";"DUQUE DE CAXIAS";"MARECHAL RONDON";"DOM PEDRO II";"MARECHAL DEODORO";"4"
8;"QUAL É O TIME DO CORAÇÃO DO PADRE MARCELO ROSSI?";"CORINTHIANS";"PALMEIRAS";"SANTOS";"FLAMENGO";"1"
9;"QUEM É O ' PATRONO ' DO EXÉRCITO BRASILEIRO?";"MARECHAL DEODORO";"BARÃO DE MAUÁ";"DUQUE DE CAXIAS";"MARQUÊS DE POMBAL";"3"
10;"QUEM REPROVAVA OS CALOUROS EM SEU PROGRAMA TOCANDO UMA BUZINA?";"RAUL GIL";"BOLINHA";"FLAVIO CAVALCANTI";"CHACRINHA";"4"
11;"QUEM É O PAI DA SASHA, A FILHA DA XUXA?";"LUCIANO  CANTOR";"LUCIANO HUCK";"LUCIANO SZAFIR";"LUCIANO DO VALLE";"3"
12;"ANTES DE CASAR COM ANA MARIA BRAGA, CARLOS MADRULHA EXERCIA QUAL PROFISSÃO?";"MORDOMO";"SEGURANÇA";"COZINHEIRO";"ESTILISTA";"2"
13;"QUAL SERIA SEU SIGNO SE VOCÊ NASCESSE NO DIA DO ANO NOVO?";"VIRGEM";"AQUARIO";"CAPRICORNIO";"ARIES";"3"
14;"QUEM FUNDOU A FÁBRICA DE AUTOMÓVEIS FORD?";"HARRISON FORD";"GERALD FORD";"HENRY FORD";"ANNA FORD";"3"
15;"QUAL A COR ASSOCIADA A GRUPOS ECOLÓGICOS?";"PRETO";"VERMELHO";"AZUL";"VERDE";"4"
16;"COM QUANTOS GRAUS CENTÍGRADOS A ÁGUA FERVE?";"200";"100";"170";"220";"2"
17;"QUANDO É COMEMORADO O DIA DA INDEPENDÊNCIA DO BRASIL?";"21 DE ABRIL";"12 DE OUTUBRO";"7 DE SETEMBRO";"25 DE DEZEMBRO";"3"
18;"QUAL O NOME DA ÁREA EM ROMA NA QUAL VIVE O PAPA?";"VENEZA";"VITÓRIA";"VANCOUVER";"VATICANO";"4"
19;"QUE FERIADO É COMEMORADO NO DIA 1º DE MAIO?";"DIA DO AVIADOR";"DIA DO TRABALHO";"DIA DAS MÃES";"DIA DA BANDEIRA";"2"
20;"QUEM FOI O GRANDE AMOR DE JULIETA?";"ROMEU";"MERCÚRIO";"HAMLET";"IAGO";"1"
21;"QUANTOS SÍGNOS ASTROLÓGICOS FAZEM O ZODÍACO?";"9 SÍGNOS";"10 SÍGNOS";"11 SÍGNOS";"12 SÍGNOS";"4"
22;"QUE PARENTESCO TEM OS CANTORES GIAN E GIOVANI?";"CUNHADOS";"IRMÃOS";"PRIMOS";"COMPADRES";"2"
23;"MARIA ODETE BRITO DE MIRANDA É O NOME VERDADEIRO DE QUAL CANTORA ?";"GRETCHEN";"SULA MIRANDA";"R. MIRANDA";"ÂNGELA MARIA";"1"
24;"QUAL  PERSONAGEM DA TURMA DA MÔNICA  TEM  CINCO FIOS DE CABELO  ?";"MÔNICA";"CEBOLINHA";"CASCÃO";"MAGALI";"2"
25;"QUAL A CANTORA QUE TINHA O APELIDO DE ' TERNURINHA'  NA ÉPOCA DA JOVEM GUARDA?";"SILVINHA";"WANDERLÉIA";"GRETCHEN";"MARTINHA";"2"
26;"EM QUAL ESTADO DO BRASIL O CHURRASCO É UMA COMIDA TÍPICA?";"MINAS GERAIS";"RIO GRANDE DO SUL";"SÃO PAULO";"GOIÁS";"2"
27;"A ATRIZ E CANTORA SANDY É FILHA DE QUAL CANTOR?";"LEONARDO";"XORORÓ";"ZEZÉ";"CHITÃOZINHO";"2"
28;"QUEM CRIOU OS PERSONAGENS PEDRINHO E NARIZINHO?";"M. DE SOUSA";"ZIRALDO";"M. LOBATO";"M. C. MACHADO";"3"
29;"QUAL É O HOMEM MAIS RICO DO MUNDO ATUALMENTE?";"SULTÃO DE BRUNEI";"AKIO MORITA";"BILL GATES";"PRÍNCIPE CHARLES";"3"
30;"QUEM CRIOU OS PERSONAGENS DA TURMA DA MÔNICA?";"MONTEIRO LOBATO";"JORGE AMADO";"MAURÍCIO DE SOUSA";"ANGELI";"3"
31;"NOS DESENHOS ANIMADOS, COMO SE CHAMA O CACHORRO MEDROSO DO SALSICHA?";"FLOQUINHO";"RIN-TIN-TIN";"LASSIE";"SCUBIDU";"4"
32;"NO PROGRAMA DO GUGU, COMO SE CHAMA O COMPANHEIRO DO ET?";"ASTOLFO";"RODOLFO";"LINDOLFO";"ADOLFO";"2"
33;"QUANTAS DENTIÇÕES TEM O SER HUMANO  DURANTE A VIDA?";"UMA";"DUAS";"TRÊS";"QUATRO";"2"
34;"EDINHO, FILHO DE PELÉ, JOGOU NO SANTOS EM QUE POSIÇÃO?";"ZAGUEIRO";"GOLEIRO";"ATACANTE";"ARMADOR";"2"
35;"QUAL É A PEDRA PRECIOSA MAIS DURA ENCONTRADA NA NATUREZA?";"ESMERALDA";"RUBI";"PÉROLA";"DIAMANTE";"4"
36;"QUE  PERSONAGEM DA TV  DIZ:' NÃO CONTAVAM COM A MINHA ASTÚCIA'?";"CHAVES";"KIKO";"CHAPOLIM  COLORADO";"SEU MADRUGA";"3"
37;"QUE CANTOR AMERICANO FICOU CONHECIDO COMO  'O REI DO ROCK'?";"FRANK SINATRA";"LITTLE RICHARD";"ELVIS PRESLEY";"RICHIE VALENS";"3"
38;"QUAL É O GATO INIMIGO DO PIU-PIU NOS DESENHOS ANIMADOS?";"FÉLIX";"TOM";"FRAJOLA";"BATATINHA";"3"
39;"JOANA PRADO É O NOME VERDADEIRO DE QUAL ARTISTA?";"TIAZINHA";"FEITICEIRA";"LADY LU";"SHEILA MELLO";"2"
40;"QUANTOS DIAS TEM UM ANO BISSEXTO ?";"364";"365";"366";"367";"3"
41;"QUAL O RÉPTIL QUE MUDA DE COR CONFORME O AMBIENTE E O MEIO ONDE VIVE?";"SAPO";"CAMALEÃO";"LAGARTO";"JACARÉ";"2"
42;"QUAL É O TEMPO DE DURAÇÃO DE UMA PARTIDA DE FUTEBOL?";"45 MINUTOS";"90 MINUTOS";"120 MINUTOS";"150 MINUTOS";"2"
43;"QUAL É A CAPITAL DO CINEMA MUNDIAL?";"GRAMADO";"LAS VEGAS";"NEW ORLEANS";"HOLLYWOOD";"4"
